9.160,46.00,0.1000,1.83,0.55,0.90,0.05
7.480,46.15,0.0900,1.50,0.66,1.05,0.05
6.600,46.30,0.0300,1.32,0.76,1.20,0.06
6.220,46.40,0.0100,1.24,0.80,1.30,0.12
5.920,46.50,-0.0100,1.18,0.84,1.40,0.13
5.450,46.80,-0.0300,1.09,0.92,1.70,0.14
5.110,47.30,-0.0100,1.02,0.98,2.20,0.17
5.060,47.90,-0.0200,1.01,0.99,2.80,0.19
4.990,48.25,0.0900,1.00,1.00,3.15,0.34
4.85,49.40,0.4000,0.97,1.03,4.30,0.35
4.810,50.40,0.0200,0.96,1.04,5.30,0.65
4.550,52.00,0.0270,0.91,1.10,6.90,1.10
4.520,51.70,0.3100,0.90,1.11,6.60,1.90
4.540,50.55,0.3000,0.91,1.13,5.45,2.15
4.350,49.50,0.3900,0.87,1.15,4.40,2.40
4.310,48.90,0.4000,0.86,1.16,3.80,2.80
4.160,47.70,0.4000,0.83,1.20,2.60,2.87
4.010,47.00,0.4200,0.80,1.25,1.90,2.92
3.870,46.65,0.3900,0.77,1.29,1.55,3.04
3.690,46.30,0.3800,0.74,1.36,1.20,3.06
3.560,46.15,0.3600,0.71,1.40,1.05,3.08
3.420,46.00,0.3300,0.68,1.46,0.90,3.10
3.320,45.90,0.3300,0.66,1.51,0.80,3.12
3.220,45.90,0.3500,0.64,1.55,0.80,3.14
3.120,45.80,0.3200,0.62,1.60,0.70,3.16
