1,0.2671,0.27,4.0000E-4,86.450,0.74221,0.50124,0.37202,0.68,409.77,387.57217,-0.43,NAN,2.58835,0.38,-0.01,0.00,-1.61,NAN
2,0.2681,0.27,7.0000E-4,100.150,0.83653,0.70190,0.58716,0.84,557.56,535.36231,-0.23,NAN,2.72865,0.60,-0.01,0.01,-1.11,NAN
3,0.2661,0.27,4.0000E-4,109.450,0.90083,0.90136,0.81197,1.00,703.37,681.17355,-0.09,NAN,2.83326,0.85,-0.04,0.03,-1.15,NAN
4,0.2657,0.27,9.0000E-4,117.500,0.96055,1.10047,1.05706,1.15,834.32,812.12443,0.02,NAN,2.90962,1.10,-0.04,0.07,-0.57,NAN
5,0.2686,0.27,8.0000E-4,129.100,1.01865,1.30113,1.32540,1.28,953.16,930.96388,0.12,NAN,2.96893,1.33,-0.01,0.12,-0.08,NAN
6,0.2633,0.26,4.0000E-4,142.650,1.07348,1.50068,1.61095,1.40,1062.07,1039.86720,0.21,-1.33549,3.01698,1.56,0.05,0.18,0.25,-0.60
7,0.2704,0.27,6.0000E-4,153.050,1.12831,1.70156,1.91988,1.51,1161.45,1139.25063,0.28,-0.86864,3.05662,1.78,0.14,0.27,0.51,-0.29
8,0.2710,0.27,0.0010,168.200,1.18020,1.90049,2.24297,1.61,1253.75,1231.55049,0.35,-0.60809,3.09045,2.00,0.25,0.36,0.68,-0.17
9,0.2700,0.27,0.0010,202.600,1.23079,2.10088,2.58574,1.71,1340.97,1318.76776,0.41,-0.41726,3.12017,2.20,0.38,0.48,0.80,-0.10
10,0.2755,0.28,7.0000E-4,215.750,1.28334,2.31115,2.96598,1.80,1425.78,1403.58045,0.47,-0.25496,3.14724,2.41,0.56,0.61,0.91,-0.04
11,0.2725,0.27,9.0000E-4,231.600,1.33033,2.50668,3.33472,1.88,1501.03,1478.82528,0.52,-0.13284,3.16992,2.60,0.74,0.75,0.98,-0.01
0,0,0,0,242.650,1.37668,2.69993,3.71694,1.96,1570.48,1548.27802,0.57,-0.02633,3.18985,2.78,0.94,0.91,1.04,0.02
0,0,0,0,252.550,1.42531,2.90856,4.14560,2.04,1642.21,1620.00690,0.62,0.07291,3.20952,2.96,1.18,1.09,1.09,0.04
0,0,0,0,267.150,1.56859,3.54486,5.56041,2.26,1840.12,1817.91867,0.75,0.31443,3.25957,3.50,2.506,1.72,1.20,0.08
0,0,0,0,276.000,1.66486,4.00334,6.66502,2.40,1970.73,1948.52864,0.82,0.44712,3.28971,3.87,2.80,2.27,1.23,0.09
0,0,0,0,288.550,1.76506,4.50780,7.95655,2.55,2105.50,2083.30142,0.90,0.56826,3.31875,4.26,3.70,2.97,1.25,0.10
0,0,0,0,306.140,1.86134,5.00894,9.32335,2.69,2229.29,2207.08620,0.97,0.67196,3.34382,4.62,4.70,3.74,1.26,0.10
0,0,0,0,324.300,2.04541,6.01469,12.30254,2.94,2454.53,2432.33018,1.09,0.84404,3.38602,5.32,6.98,5.52,1.26,0.10
0,0,0,0,339.950,2.21839,7.03484,15.60604,3.17,2662.66,2640.45955,1.19,0.98313,3.42168,5.99,9.62,7.67,1.25,0.10
0,0,0,0,353.500,2.37636,8.02488,19.06997,3.38,2848.45,2826.24863,1.28,1.09576,3.45121,6.60,12.47,10.07,1.24,0.09
0,0,0,0,364.850,2.52486,9.01177,22.75342,3.57,3021.99,2999.79089,1.36,1.19197,3.47709,7.19,15.56,12.77,1.22,0.09
0,0,0,0,384.500,2.67074,10.02109,26.76376,3.75,3187.13,3164.93164,1.43,1.27857,3.50036,7.77,18.99,15.83,1.20,0.08
0,0,0,0,405.600,2.80847,11.02127,30.95293,3.92,3342.50,3320.29985,1.49,1.35460,3.52118,8.33,22.63,19.17,1.18,0.07
0,0,0,0,428.050,2.90867,11.76957,34.23379,4.05,3452.70,3430.50141,1.53,1.40664,3.53536,8.73,25.51,21.85,1.17,0.07 
